               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.020645,            0.015646,                   0,             0.99989,              0.9845,             0.99485,             0.72987,            0.021566,            0.021051,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.021664,            0.014118,                   0,                   1,             0.97669,             0.99432,              0.7018,            0.022716,            0.019751,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.024091,            0.014811,                   0,              0.9999,              0.9845,             0.99442,             0.71883,             0.02041,            0.019345,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.019625,            0.014735,                   0,             0.98446,              0.9845,             0.99383,             0.67484,            0.024811,            0.020142,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.021282,            0.014702,                   0,                   1,             0.98445,             0.99415,             0.69068,            0.022851,            0.020175,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.021525,            0.014754,                   0,             0.99999,             0.97674,             0.99396,             0.73104,            0.020865,            0.019941,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.018976,            0.014668,                   0,             0.99998,             0.97674,             0.99383,             0.73456,            0.021685,            0.020775,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.021552,            0.015666,                   0,                   1,             0.97674,             0.99309,             0.71841,            0.020686,            0.020651,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.021008,            0.015289,                   0,                   1,             0.97674,             0.99396,             0.73362,            0.020109,            0.020035,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,             0.02226,            0.015545,                   0,                   1,             0.97665,              0.9933,             0.71256,            0.020874,            0.020145,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,             0.02259,            0.015715,                   0,             0.99212,             0.97674,             0.99431,             0.75067,            0.019231,            0.019291,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.020315,            0.014439,                   0,             0.99212,             0.97674,             0.99431,             0.72197,            0.022067,            0.019582,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.020563,            0.014199,                   0,              0.9845,             0.98448,             0.99446,             0.71889,            0.021421,            0.019559,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.022044,            0.014753,                   0,                   1,             0.97674,             0.99439,             0.73964,            0.020669,            0.020318,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.021226,            0.014436,                   0,             0.99206,             0.96898,             0.99387,             0.70208,            0.023704,            0.021569,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.019708,            0.014036,                   0,             0.97709,             0.99201,             0.99423,             0.70081,            0.023123,            0.021527,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.018425,            0.015234,                   0,             0.99993,             0.96899,             0.99409,             0.71163,            0.020945,            0.021746,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.020465,             0.01426,                   0,                   1,             0.96899,             0.99424,             0.72576,             0.02088,             0.02182,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.020436,            0.014586,                   0,             0.99996,             0.97674,             0.99439,             0.73438,             0.02051,            0.021377,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,            0.017458,            0.014042,                   0,             0.98458,             0.99225,             0.99469,             0.71919,            0.021469,            0.020839,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.017997,            0.014909,                   0,             0.98461,             0.99217,             0.99461,             0.71029,            0.021681,            0.020401,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,            0.019679,            0.014798,                   0,                   1,             0.97674,             0.99439,             0.72393,            0.021306,            0.020956,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,            0.017477,            0.014027,                   0,                   1,              0.9767,             0.99432,             0.73938,            0.020683,            0.020877,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017188,            0.012653,                   0,             0.99998,             0.96899,             0.99401,             0.73184,            0.020722,            0.021834,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,            0.017537,            0.014005,                   0,             0.97727,             0.99989,             0.99454,             0.70435,            0.021562,            0.023233,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.017832,            0.013348,                   0,             0.98461,             0.99205,             0.99477,             0.72759,             0.02279,            0.022113,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.017275,            0.014078,                   0,             0.99997,              0.9845,             0.99449,              0.6968,            0.023136,            0.022796,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.016477,            0.013998,                   0,             0.99216,              0.9845,             0.99454,             0.70779,            0.022612,            0.021793,                   0,           0.0064356,           0.0064356,           0.0064356
